interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
1,2021-08-31,09:00:00,Male,21,Senior,Rest of World,5,Male,20,Senior,Rest of World,Close friend,More than once a week,Male,22,Senior,Rest of World,Close friend,More than once a week,Female,23,Junior,Rest of World,Close friend,More than once a week,Male,20,Senior,Rest of World,Friend,More than once a week,Male,20,Junior,Rest of World,Close friend,More than once a week
2,NA,10:00:00,Other,20,Senior,Rest of United States,5,Female,52,Other,Rest of United States,Close friend,More than once a week,Other,20,Senior,LA Area,Close friend,More than once a week,Male,53,Other,Rest of United States,Close friend,More than once a week,Male,17,Freshman,Rest of United States,Close friend,More than once a week,Male,17,Freshman,Rest of United States,Close friend,More than once a week
1,2021-08-31,09:04:00,Female,21,Junior,Rest of World,5,Female,57,Other,Rest of World,Close friend,Once a year,Male,57,Other,Rest of World,Close friend,Once a year,Female,23,Other,Rest of World,Friend,Once a month,Female,22,Senior,Rest of World,Friend,Once a week,Female,23,Senior,Rest of World,Friend,Once a year
1,2021-08-31,09:02:00,Female,20,Senior,Bay Area,5,Female,18,Freshman,Bay Area,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,More than once a week,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,21,Senior,Rest of California,Close friend,More than once a week,Male,20,Senior,Rest of World,Close friend,Once a week
2,2021-08-31,10:18:00,Female,21,Senior,LA Area,5,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,58,Other,Rest of World,Close friend,More than once a week,Male,61,Other,Rest of World,Close friend,More than once a week,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,21,Senior,Rest of United States,Close friend,More than once a week
2,2021-08-31,09:40:00,Female,20,Junior,Bay Area,3,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,19,Senior,Rest of California,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2021-08-31,10:22:00,Male,26,Other,Rest of United States,5,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,58,Other,Rest of World,Close friend,Once a week,Male,58,Other,Rest of World,Close friend,More than once a week,Male,26,Other,Rest of United States,Close friend,More than once a week,Male,27,Other,Rest of United States,Close friend,Once a week
3,2021-08-31,10:14:00,Female,19,Senior,Rest of California,3,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,23,Other,Bay Area,Close friend,More than once a week,Male,30,Other,Rest of United States,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:02:00,Female,20,Senior,LA Area,5,Female,21,Senior,LA Area,Friend,More than once a week,Male,21,Senior,Rest of United States,Friend,More than once a week,Female,21,Senior,LA Area,Friend,More than once a week,Male,21,Senior,LA Area,Friend,Once a week,Male,21,Senior,LA Area,Acquaintance,Once a month
1,0021-08-31,09:01:00,Female,20,Junior,Rest of California,5,Female,55,Other,Rest of California,Close friend,More than once a week,Female,19,Junior,Bay Area,Close friend,More than once a week,Male,21,Junior,Bay Area,Close friend,More than once a week,Female,24,Other,Rest of California,Close friend,Once a week,Female,21,Senior,Bay Area,Close friend,Once a week
2,0021-08-31,10:17:00,Female,20,Senior,LA Area,5,Male,58,Other,Rest of United States,Close friend,More than once a week,Female,52,Other,Rest of World,Close friend,More than once a week,Female,18,Sophomore,LA Area,Close friend,Once a week,Female,21,Senior,Rest of United States,Friend,More than once a week,Female,20,Junior,LA Area,Friend,More than once a week
3,2021-08-31,10:47:00,Female,21,Senior,Rest of California,5,Female,40,Other,Rest of California,Acquaintance,Once a week,Female,60,Other,Rest of California,Close friend,Once a week,Female,21,Senior,Rest of California,Friend,Once a week,Female,18,Freshman,Rest of California,Close friend,Once a week,Female,21,Senior,Rest of California,Friend,Once a week
1,2021-08-31,08:58:00,Female,20,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Female,25,Other,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,19,Sophomore,LA Area,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week
2,2021-08-31,11:03:00,Female,20,Junior,Bay Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,LA Area,Friend,More than once a week,Male,19,Junior,Bay Area,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,More than once a week
3,2021-08-31,12:01:00,Female,20,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Male,21,Other,LA Area,Close friend,Once a month,Female,23,Other,LA Area,Close friend,Once a month,Female,19,Sophomore,LA Area,Close friend,Once a month,Female,20,Junior,LA Area,Close friend,Once a month
1,2021-08-31,09:02:00,Male,21,Senior,LA Area,3,Male,20,Senior,LA Area,Close friend,More than once a week,Female,20,Sophomore,LA Area,Close friend,More than once a week,Male,21,Senior,Rest of United States,Friend,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2021-08-31,09:09:00,Female,19,Sophomore,Rest of California,5,Female,51,Other,Rest of California,Close friend,More than once a week,Male,60,Other,Rest of California,Close friend,More than once a week,Female,18,Sophomore,Rest of California,Friend,More than once a week,Female,19,Sophomore,Rest of United States,Friend,Once a week,Female,19,Sophomore,Rest of California,Friend,Once a week
1,2021-08-31,09:01:00,Female,20,Senior,LA Area,5,Female,49,Other,LA Area,Close friend,Once a week,Male,51,Other,LA Area,Close friend,More than once a week,Female,28,Other,LA Area,Close friend,Once a month,Male,23,Other,Bay Area,Close friend,Rarely,Male,15,Other,LA Area,Close friend,Once a month
3,2021-08-31,13:02:00,Male,20,Senior,LA Area,6+,Male,21,Senior,LA Area,Close friend,Once a week,Male,21,Senior,Bay Area,Close friend,Once a week,Male,21,Junior,Bay Area,Close friend,Once a week,Male,21,Senior,Bay Area,Close friend,Once a week,Male,21,Senior,LA Area,Close friend,Once a week
2,2021-08-31,14:28:00,Female,22,Senior,Bay Area,3,Female,23,Senior,LA Area,Close friend,Once a week,Female,60,Other,Rest of World,Acquaintance,More than once a week,Female,22,Senior,Rest of World,Close friend,Once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:02:00,Female,18,Sophomore,Rest of California,5,Female,18,Sophomore,Rest of California,Close friend,More than once a week,Female,50,Other,Rest of California,Close friend,More than once a week,Male,52,Other,Rest of California,Close friend,More than once a week,Male,19,Sophomore,Rest of California,Close friend,More than once a week,Male,19,Other,Rest of California,Close friend,More than once a week
2,2021-08-31,09:09:00,Male,21,Senior,Bay Area,6+,Male,21,Senior,Bay Area,Close friend,Once a week,Male,21,Senior,LA Area,Close friend,Once a week,Male,21,Senior,Bay Area,Close friend,Once a week,Male,21,Sophomore,Bay Area,Close friend,Once a month,Male,21,Senior,Bay Area,Close friend,Once a week
3,2021-08-31,15:12:00,Female,18,Sophomore,Rest of United States,5,Female,19,Sophomore,Rest of California,Close friend,More than once a week,Female,19,Sophomore,Rest of United States,Close friend,More than once a week,Female,18,Sophomore,Bay Area,Close friend,More than once a week,Male,19,Sophomore,Rest of United States,Close friend,More than once a week,Female,19,Sophomore,Rest of United States,Close friend,More than once a week
1,2021-08-31,09:07:00,Other,28,Junior,Rest of United States,6+,Other,50,Other,Rest of United States,Close friend,More than once a week,Female,32,Other,Rest of United States,Close friend,More than once a week,Female,35,Other,Bay Area,Close friend,More than once a week,Female,30,Other,Rest of United States,Close friend,Once a week,Female,40,Other,Bay Area,Close friend,Once a week
2,2021-08-31,09:37:00,Male,20,Junior,Rest of California,3,Male,52,Other,Rest of World,Close friend,More than once a week,Female,49,Other,Rest of World,Close friend,More than once a week,Female,21,Other,Rest of California,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2021-08-31,12:33:00,Male,20,Junior,Rest of California,2,Male,20,Junior,Rest of California,Close friend,More than once a week,Male,20,Junior,Rest of California,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:05:00,Female,23,Other,LA Area,5,Male,23,Other,Rest of United States,Friend,Once a week,Female,26,Other,Rest of World,Friend,Once a week,Female,23,Other,Rest of United States,Close friend,Once a week,Female,70,Other,LA Area,Close friend,Once a week,Female,23,Other,LA Area,Close friend,Once a week
2,2021-08-31,09:55:00,Male,20,Senior,Bay Area,5,Male,55,Other,Bay Area,Close friend,Once a week,Female,55,Other,Bay Area,Close friend,Once a week,Female,20,Senior,LA Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week
3,2021-08-31,18:22:00,Male,22,Senior,Bay Area,5,Male,52,Other,Rest of World,Close friend,More than once a week,Female,50,Other,Rest of United States,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,Once a week,Male,22,Senior,Bay Area,Close friend,More than once a week,Female,24,Other,Bay Area,Close friend,Once a week
1,2021-08-31,09:00:00,Female,20,Junior,LA Area,6+,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,Once a month,Female,21,Other,Rest of California,Friend,Once a week,Other,26,Other,Rest of United States,Friend,More than once a week
2,2021-08-31,19:30:00,Male,21,Senior,Rest of World,6+,Female,21,Senior,Rest of United States,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,Once a week,Male,21,Senior,Rest of World,Close friend,Once a week,Female,23,Other,Rest of World,Close friend,Once a week,Male,50,Other,Rest of World,Close friend,Once a week
1,2021-08-31,09:01:00,Female,21,Senior,Rest of United States,5,Male,26,Other,Rest of World,Close friend,Once a week,Male,55,Other,Rest of World,Close friend,Once a week,Female,20,Senior,LA Area,Friend,Once a week,Male,22,Other,Rest of United States,Friend,More than once a week,Female,55,Other,Rest of World,Close friend,More than once a week
3,2021-08-31,19:45:00,Male,21,Senior,Rest of World,5,Male,21,Senior,Rest of World,Close friend,More than once a week,Female,20,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Friend,Once a week,Male,20,Senior,Bay Area,Close friend,More than once a week,Female,55,Other,Rest of World,Close friend,More than once a week
2,2021-08-31,13:18:00,Male,21,Junior,Bay Area,5,Female,50,Other,LA Area,Close friend,Once a month,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,46,Other,Bay Area,Friend,Once a month,Male,32,Other,LA Area,Close friend,Once a month,Female,20,Junior,Rest of California,Close friend,More than once a week
3,2021-08-31,18:56:00,Female,19,Junior,Rest of California,6+,Male,52,Other,Rest of United States,Close friend,More than once a week,Female,50,Other,Rest of United States,Friend,Once a week,Female,22,Other,Rest of California,Close friend,Once a week,Female,19,Junior,Rest of World,Close friend,Once a week,Female,20,Junior,Bay Area,Close friend,Once a week
1,2021-08-31,09:05:00,Male,21,Senior,Rest of World,6+,Male,20,Senior,Rest of World,Friend,Once a week,Male,21,Senior,Rest of World,Friend,Once a week,Female,20,Senior,Rest of World,Close friend,More than once a week,Female,22,Senior,Rest of United States,Close friend,More than once a week,Male,21,Senior,Rest of California,Close friend,More than once a week
2,2021-08-31,09:07:00,Female,20,Senior,LA Area,5,Female,49,Other,LA Area,Close friend,Once a week,Male,51,Other,LA Area,Close friend,More than once a week,Female,28,Other,LA Area,Close friend,Once a month,Male,23,Other,Bay Area,Close friend,Rarely,Male,14,Other,LA Area,Close friend,Once a month
3,2021-08-31,21:56:00,Female,20,Junior,LA Area,6+,Other,20,Junior,LA Area,Close friend,More than once a week,Other,20,Junior,LA Area,Close friend,More than once a week,Female,22,Other,Bay Area,Close friend,More than once a week,Male,22,Other,Rest of California,Close friend,Once a week,Female,20,Senior,Bay Area,Friend,More than once a week
1,2021-08-31,09:02:00,Male,21,Senior,Rest of California,5,Female,18,Sophomore,Rest of California,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,More than once a week,Female,22,Other,Rest of United States,Close friend,Once a week
2,2021-08-31,09:20:00,Female,20,Junior,Bay Area,5,Female,19,Junior,Bay Area,Close friend,Once a week,Female,20,Junior,Bay Area,Close friend,Once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,19,Junior,Rest of World,Close friend,More than once a week,Male,20,Junior,LA Area,Friend,Once a week
3,2021-09-01,00:26:00,Male,21,Senior,Rest of World,5,Male,21,Senior,Rest of World,Close friend,More than once a week,Female,18,Freshman,Rest of World,Close friend,More than once a week,Male,20,Sophomore,Rest of World,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,More than once a week,Male,21,Senior,Rest of World,Close friend,More than once a week
1,2021-08-31,09:00:00,Female,21,Senior,LA Area,5,Male,21,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,22,Other,LA Area,Close friend,Once a week,Female,21,Senior,LA Area,Close friend,Once a month
2,2021-09-01,00:45:00,Female,20,Junior,Bay Area,3,Male,22,Other,LA Area,Close friend,Once a month,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2021-08-31,21:52:00,Female,20,Junior,Rest of California,4,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of California,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:01:00,Female,20,Senior,LA Area,6+,Female,20,Senior,LA Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,Once a week,Female,21,Senior,Rest of California,Close friend,Once a week,Male,21,Other,LA Area,Close friend,Once a week,Female,22,Other,LA Area,Close friend,Once a week
2,2021-08-31,09:10:00,Female,20,Junior,LA Area,6+,Other,21,Other,Rest of United States,Friend,Once a week,Female,20,Junior,LA Area,Close friend,Once a month,Other,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Other,26,Other,Rest of United States,Friend,More than once a week
3,2021-08-31,11:17:00,Female,21,Senior,Bay Area,4,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,50,Other,Bay Area,Close friend,More than once a week,Male,50,Other,Bay Area,Close friend,Once a week,Female,27,Other,Bay Area,Close friend,Once a week,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:08:00,Male,22,Senior,Rest of California,5,Female,54,Other,Rest of California,Close friend,Once a week,Male,61,Other,Rest of California,Close friend,Once a month,Male,20,Sophomore,Rest of California,Close friend,Once a month,Male,23,Other,Rest of United States,Friend,More than once a week,Female,22,Senior,Rest of United States,Friend,More than once a week
2,2021-08-31,16:10:00,Male,21,Senior,LA Area,4,Male,50,Other,LA Area,Close friend,More than once a week,Female,49,Other,LA Area,Close friend,More than once a week,Male,30,Other,Rest of California,Friend,More than once a week,Female,20,Other,Bay Area,Friend,More than once a week,NA,NA,NA,NA,NA,NA
3,2021-08-31,16:17:00,Male,21,Senior,LA Area,4,Male,53,Other,LA Area,Close friend,Once a week,Female,21,Senior,LA Area,Friend,Once a month,Female,27,Other,LA Area,Friend,More than once a week,Female,21,Senior,Rest of World,Close friend,Once a month,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:05:00,Female,22,Junior,LA Area,5,Male,21,Sophomore,Rest of World,Close friend,More than once a week,Female,21,Junior,LA Area,Close friend,More than once a week,Male,21,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,21,Junior,LA Area,Close friend,More than once a week
2,2021-08-31,14:58:00,Male,20,Junior,Rest of World,5,Female,20,Junior,Rest of California,Close friend,Once a week,Male,50,Other,Rest of World,Close friend,Once a month,Female,50,Other,Rest of World,Close friend,Once a month,Male,18,Sophomore,Rest of World,Close friend,Once a month,Male,20,Junior,Rest of World,Friend,Once a month
3,2021-03-31,22:08:00,Female,20,Junior,Rest of World,6+,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,Once a week,Female,53,Other,Rest of World,Close friend,Once a month
1,2021-09-01,12:30:00,Male,20,Junior,Rest of California,5,Male,19,Sophomore,Bay Area,Friend,Once a week,Male,21,Junior,Bay Area,Friend,Once a week,Male,20,Junior,LA Area,Friend,More than once a week,Female,47,Other,Rest of United States,Close friend,More than once a week,Male,17,Freshman,Rest of United States,Close friend,Once a week
2,2021-09-01,13:00:00,Male,20,Junior,Rest of California,5,Male,21,Junior,LA Area,Friend,Once a week,Male,20,Junior,LA Area,Friend,Once a week,Female,20,Junior,LA Area,Friend,Once a week,Male,19,Sophomore,LA Area,Friend,Once a week,Male,20,Junior,Rest of United States,Friend,More than once a week
3,2021-09-01,13:30:00,Male,20,Junior,Rest of California,5,Male,21,Junior,LA Area,Friend,Once a week,Male,52,Other,LA Area,Close friend,More than once a week,Male,20,Junior,LA Area,Friend,Once a week,Female,19,Sophomore,LA Area,Close friend,More than once a week,Male,21,Junior,LA Area,Friend,Once a week
1,2021-08-31,09:03:00,Male,21,Senior,Bay Area,5,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,20,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week
2,2021-09-01,15:50:00,Male,23,Other,Rest of United States,5,Female,23,Other,LA Area,Close friend,More than once a week,Female,26,Other,Rest of World,Close friend,More than once a week,Female,23,Other,Rest of World,Close friend,More than once a week,Female,23,Other,Rest of California,Close friend,More than once a week,Male,23,Other,Rest of California,Close friend,More than once a week
3,2021-09-01,15:56:00,Female,26,Other,Rest of World,5,Male,23,Other,Rest of United States,Close friend,More than once a week,Female,23,Other,LA Area,Close friend,More than once a week,Male,26,Other,Rest of World,Close friend,More than once a week,Female,70,Other,Rest of World,Close friend,More than once a week,Male,64,Other,Rest of World,Close friend,More than once a week
3,2021-09-01,16:18:00,Female,21,Senior,Rest of World,5,Female,21,Senior,Rest of World,Friend,Once a week,Male,23,Other,Rest of World,Friend,Once a week,Female,22,Other,Rest of World,Friend,Once a week,Female,21,Senior,Rest of World,Friend,Once a week,Female,22,Other,Rest of World,Friend,Once a week
1,2021-08-21,09:03:00,Female,20,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,23,Other,LA Area,Close friend,Once a week,Male,21,Other,LA Area,Friend,Once a week,Male,19,Junior,Bay Area,Close friend,More than once a week
2,2021-08-31,13:21:00,Male,20,Junior,Rest of World,5,Female,19,Junior,Bay Area,Friend,Once a week,Male,20,Junior,Bay Area,Friend,Once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Female,19,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Friend,Once a week
3,2021-08-31,19:54:00,Female,21,Junior,LA Area,5,Female,21,Senior,LA Area,Friend,Once a week,Female,21,Senior,LA Area,Friend,Once a week,Male,20,Senior,Rest of California,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Senior,Bay Area,Close friend,More than once a week
1,2021-08-31,09:03:00,Female,19,Junior,LA Area,5,Female,20,Junior,LA Area,Close friend,Once a week,Female,20,Junior,LA Area,Close friend,Once a month,Female,20,Junior,Rest of California,Close friend,Once a year,Female,25,Other,LA Area,Close friend,More than once a week,Female,19,Junior,LA Area,Close friend,More than once a week
2,2021-09-01,23:58:00,Female,21,Senior,Bay Area,5,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,LA Area,Close friend,More than once a week,Female,24,Other,Bay Area,Close friend,Once a week,Female,20,Senior,Rest of United States,Close friend,More than once a week
3,2021-09-02,00:06:00,Female,21,Senior,Bay Area,6+,Female,52,Other,Rest of World,Close friend,More than once a week,Female,26,Other,Bay Area,Close friend,Once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,21,Senior,Rest of World,Friend,Once a week,Female,21,Senior,Bay Area,Friend,Once a week
1,2021-08-31,09:02:00,Female,21,Senior,LA Area,5,Female,21,Senior,LA Area,Close friend,Once a week,Female,21,Senior,LA Area,Close friend,Once a month,Female,21,Senior,Rest of United States,Close friend,Once a month,Male,21,Senior,Rest of World,Friend,Once a year,Female,22,Other,Rest of California,Close friend,Once a year
2,2021-08-31,12:54:00,Male,20,Senior,Rest of World,5,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,61,Other,Rest of World,Close friend,Once a week,Male,79,Other,Rest of World,Close friend,Once a week,Female,20,Senior,Bay Area,Close friend,Once a week,Female,45,Other,LA Area,Friend,Once a month
3,2021-09-02,09:40:00,Female,21,Senior,Rest of United States,5,Female,21,Senior,Rest of California,Close friend,More than once a week,Female,21,Other,Bay Area,Friend,Once a week,Female,22,Senior,Bay Area,Friend,Once a week,Male,21,Senior,Rest of California,Friend,Once a month,Female,20,Senior,Bay Area,Friend,Once a week
